Deal ID: 65f9959ac0559f01c6574416 | Name: Haemonetics | Stage: Unknown Stage | Amount: 3600 | Close Date: No Date

Deal ID: 65ae97c1663764030065a5e7 | Name: Richmond Power & Light | Stage: Unknown Stage | Amount: 9600 | Close Date: No Date

Deal ID: 65e88c9f8fb00e01c61e1695 | Name: ipaper.com | Stage: Unknown Stage | Amount: 2400 | Close Date: No Date

Deal ID: 66706b4d7983ed038b3ebe0e | Name: SaskPower | Stage: Unknown Stage | Amount: Not Specified | Close Date: No Date

Deal ID: 66ad0ef56c542001b2d6292a | Name: STELCO - The Steel Company of Canada | Stage: Unknown Stage | Amount: Not Specified | Close Date: No Date

Deal ID: 6668924236885a06af798aa9 | Name: EMJ | Stage: Unknown Stage | Amount: Not Specified | Close Date: No Date

Deal ID: 660b05db6dfbb501c6a99c4d | Name: AAK | Stage: Unknown Stage | Amount: Not Specified | Close Date: No Date

Deal ID: 659d7313ead13d043dc1a351 | Name: WestRock Company | Stage: Unknown Stage | Amount: 6000 | Close Date: No Date

Deal ID: 658efbe707d0810300e8310f | Name: Packaging Corporation of America | Stage: Unknown Stage | Amount: 3900 | Close Date: No Date

Deal ID: 661ff5529141b101c731b6c3 | Name: gcinc.com | Stage: Unknown Stage | Amount: Not Specified | Close Date: No Date

Deal ID: 66e1ace335e4a301b29cc697 | Name: TOM SMITH INDUSTRIES INC | Stage: Unknown Stage | Amount: Not Specified | Close Date: No Date

Deal ID: 65fb0c27847c0901c6167ac5 | Name: Packaging Corporation of America | Stage: Unknown Stage | Amount: Not Specified | Close Date: No Date

Deal ID: 65b3fb3d234f31043b23401f | Name: Pratt Industries | Stage: Unknown Stage | Amount: 3900 | Close Date: No Date

Deal ID: 65b26a8914e78a01c6e9fd3b | Name: Flex | Stage: Unknown Stage | Amount: 7000 | Close Date: No Date

Deal ID: 65bc01c9f8cd87031a043bbe | Name: Martin Transportation Systems | Stage: Unknown Stage | Amount: Not Specified | Close Date: No Date

Deal ID: 6617e19b1762cd01c7aea8f8 | Name: PaperWorks | Stage: Unknown Stage | Amount: Not Specified | Close Date: No Date

Deal ID: 65cce37d6a2c2101c67ceb14 | Name: Quaker Chemical Corporation | Stage: Unknown Stage | Amount: 3480 | Close Date: No Date

Deal ID: 66cde95ced9a0b050ffbf569 | Name: Sims Lifecycle Services | Stage: Unknown Stage | Amount: Not Specified | Close Date: No Date

Deal ID: 663bc7f09be09501c77eb990 | Name: Lane County Government | Stage: Unknown Stage | Amount: 4200 | Close Date: No Date

Deal ID: 65b80ac8aa47d70598286fb4 | Name: Victaulic Company | Stage: Unknown Stage | Amount: 7600 | Close Date: No Date

Deal ID: 65faf9e74dc1c001c65eb081 | Name: Cal-Waste Recovery Systems | Stage: Unknown Stage | Amount: 9600 | Close Date: No Date

Deal ID: 6579b15a10f9e903f1fda41f | Name: Bomarko, Inc. | Stage: Unknown Stage | Amount: 4800 | Close Date: No Date

Deal ID: 66f6e17560623a01b49e731b | Name: International Paper Company (Spotswood, NJ | Stage: Unknown Stage | Amount: 6120 | Close Date: No Date

Deal ID: 66c64142f79ee202d2504807 | Name: International Paper Company (Spotswood, NJ | Stage: Unknown Stage | Amount: Not Specified | Close Date: No Date

Deal ID: 671025399283b703ec7de93c | Name: Huntsville Utilities | Stage: Unknown Stage | Amount: Not Specified | Close Date: No Date

Deal ID: 6579c885c347ce01ae80bce5 | Name: ESTERLINE & SONS MFG. | Stage: Unknown Stage | Amount: 3840 | Close Date: No Date

Deal ID: 66f5b56c2ac65501b3d1abc3 | Name: Schnitzer Steel Industries | Stage: Unknown Stage | Amount: Not Specified | Close Date: No Date

Deal ID: 65805c0b40886601c62fae45 | Name: Alpha Foundry Company | Stage: Unknown Stage | Amount: 3000 | Close Date: No Date

Deal ID: 65a051416f4aa001c6a1fe54 | Name: Lhoist | Stage: Unknown Stage | Amount: 12000 | Close Date: No Date

Deal ID: 65a6b5f45b06ab031ad46edf | Name: Uckele Health & Nutrition | Stage: Unknown Stage | Amount: 11500 | Close Date: No Date

Deal ID: 657b094c4d938f02d0f18afa | Name: Wabtec Corporation | Stage: Unknown Stage | Amount: 3600 | Close Date: No Date

Deal ID: 6786db8de875ed01b0eea03b | Name: SWARCO | Stage: Unknown Stage | Amount: Not Specified | Close Date: No Date

Deal ID: 66edda22ffc10601b308737a | Name: Packaging Corp Of America | Stage: Unknown Stage | Amount: Not Specified | Close Date: No Date

Deal ID: 676058e9613607051d774982 | Name: Genus PLC | Stage: Unknown Stage | Amount: Not Specified | Close Date: No Date

Deal ID: 679bdf881abcb202ce42b126 | Name: Messer (Kittery, ME) | Stage: Unknown Stage | Amount: Not Specified | Close Date: No Date

Deal ID: 665751d33947fe04779f53ce | Name: Leatherman Tool Group | Stage: Unknown Stage | Amount: Not Specified | Close Date: No Date

Deal ID: 6759c175edd68f02ce89377c | Name: International Paper Company (Spotswood, NJ | Stage: Unknown Stage | Amount: Not Specified | Close Date: No Date

Deal ID: 674f2d3e6540a5079710b808 | Name: Magni Industries, Inc. | Stage: Unknown Stage | Amount: Not Specified | Close Date: No Date

Deal ID: 660edbf3f4fabf0303b2fb11 | Name: Universal Stainless & Alloy Products Inc | Stage: Unknown Stage | Amount: Not Specified | Close Date: No Date

Deal ID: 67a62a6761c9f903eb0bc418 | Name: States Industries | Stage: Unknown Stage | Amount: Not Specified | Close Date: No Date

Deal ID: 66bf680c269bf002d5cebb52 | Name: International Paper Company (Spotswood, NJ | Stage: Unknown Stage | Amount: Not Specified | Close Date: No Date

Deal ID: 66b6712e9d122f02d1b29fbf | Name: Country Meats | Stage: Unknown Stage | Amount: Not Specified | Close Date: No Date

Deal ID: 65f9bdb761c93d01c677f877 | Name: Agri Beef | Stage: Unknown Stage | Amount: Not Specified | Close Date: No Date

Deal ID: 65cbe7da6449d701c6bb912b | Name: Minuteman | Stage: Unknown Stage | Amount: Not Specified | Close Date: No Date

Deal ID: 662a9839994de1030050f66a | Name: International Paper Company (Spotswood, NJ | Stage: Unknown Stage | Amount: Not Specified | Close Date: No Date

Deal ID: 66156f66e9abd102e9010c69 | Name: Amy's Kitchen | Stage: Unknown Stage | Amount: 1056 | Close Date: No Date

Deal ID: 66d8baa0b669d801b3014dcf | Name: International Paper Company (Spotswood, NJ | Stage: Unknown Stage | Amount: 5400 | Close Date: No Date

Deal ID: 65f8995c93959103006239a2 | Name: AvCarb Material Solutions | Stage: Unknown Stage | Amount: 5880 | Close Date: No Date

Deal ID: 66b50e9bcfd98802d0c31bad | Name: International Paper Company (Spotswood, NJ | Stage: Unknown Stage | Amount: 3600 | Close Date: No Date

Deal ID: 66718c8471683b038cd61f0e | Name: Victaulic Company | Stage: Unknown Stage | Amount: 6240 | Close Date: No Date

Deal ID: 6579b8fa2896be037bf86252 | Name: CIE | Stage: Unknown Stage | Amount: 14400 | Close Date: No Date

Deal ID: 6595af35429cf50589fb1b52 | Name: lightstonegen.com | Stage: Unknown Stage | Amount: 960 | Close Date: No Date

Deal ID: 65a051076f4aa0043ba1f9b9 | Name: Packaging Corporation of America | Stage: Unknown Stage | Amount: 4020 | Close Date: No Date

Deal ID: 6669bc7909501403a13c0ff9 | Name: UTLX | Stage: Unknown Stage | Amount: Not Specified | Close Date: No Date

